Sequence_ID	JMF-2002-2-0001A	JMF-2002-2-0002A	JMF-2002-2-0003A	JMF-2002-2-0004A	JMF-2002-2-0005A	JMF-2002-2-0006A	JMF-2002-2-0007A	JMF-2002-2-0008A	JMF-2002-2-0009A	JMF-2002-2-0010A	JMF-2002-2-0011A	JMF-2002-2-0012A	JMF-2002-2-0013A	JMF-2002-2-0014A	JMF-2002-2-0015A	JMF-2002-2-0016A	JMF-2002-2-0017A	JMF-2002-2-0018A	JMF-2002-2-0018B	JMF-2002-2-0019A	JMF-2002-2-0020A	JMF-2002-2-0021A	JMF-2002-2-0021B	JMF-2002-2-0022A	JMF-2002-2-0022B	JMF-2002-2-0023A	JMF-2002-2-0024A	JMF-2002-2-0025A	JMF-2002-2-0026A	JMF-2002-2-0027A	JMF-2002-2-0028A	JMF-2002-2-0029A	JMF-2002-2-0030A	JMF-2002-2-0031A
ASV_hsu_n5y	0	1	0	1	2	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	1	0	0	0	3	2	0	2	3	0	0	0	0
ASV_hta_inc	0	0	1	0	0	0	0	0	3	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_htv_yj1	0	0	0	0	0	0	0	1	1	2	3	1	0	0	1	1	5	0	0	0	1	0	0	0	0	3	0	1	0	4	0	6	6	0
ASV_hwd_blx	1	8	1	0	3	7	0	5	1	4	2	17	4	7	0	0	12	5	0	0	2	1	0	0	0	0	0	10	20	22	9	4	0	0
ASV_hyc_sj2	4	0	1	1	0	0	6	0	1	2	4	1	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0
ASV_hzg_pnl	0	0	27	0	0	0	0	0	427	0	4	0	436	5	0	0	0	6	0	0	0	0	0	0	0	0	22	0	0	0	34	0	3	0
ASV_i0n_95n	0	0	1	0	0	0	1	0	0	0	1	2	3	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ASV_i0r_txf	0	2	1	0	0	0	1	0	0	4	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	3	3	0	2	0	0
ASV_i1t_5si	0	0	0	0	1	0	0	0	0	0	2	2	1	0	0	0	1	2	0	1	1	1	2	0	0	0	0	6	11	31	19	6	19	0
ASV_i21_0dr	0	0	0	0	0	0	0	1	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_i4v_7qx	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	1	1	5	0	0	0	0	5	0
ASV_i5n_n5e	12	5	0	1	2	0	0	1	0	6	12	3	0	3	2	2	4	2	0	1	2	2	0	0	0	20	1	1	3	6	4	3	11	0
ASV_i5z_ffq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_i8g_m1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_iav_boo	19	10	11	11	8	12	21	6	7	27	6	16	2	2	5	0	30	10	0	7	3	0	0	2	0	10	20	6	7	15	7	6	5	0
ASV_icf_bbw	2	0	2	0	0	0	0	1	0	0	0	0	0	0	1	4	2	3	0	0	2	0	0	0	0	1	0	0	0	0	1	1	5	0
ASV_idx_up3	0	0	0	0	0	0	0	0	1	0	2	0	3	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_ifu_a6q	0	0	10	0	0	0	0	0	12	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_ih6_8dr	2	2	0	2	6	1	9	5	0	7	5	4	1	11	1	10	5	0	25	0	3	2	2	2	0	4	6	10	0	6	6	4	2	0
ASV_iix_cpe	7	21	3	11	40	19	25	70	1	43	52	35	145	72	85	121	130	94	23	21	74	30	44	8	29	98	174	115	173	536	294	190	184	0
ASV_ijm_j6b	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_il9_6ku	0	0	109	0	0	0	0	0	348	13	1	0	938	0	2	0	0	22	0	0	3	0	0	0	0	0	59	0	1	0	41	0	1	0
ASV_ilp_lgo	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_imm_2ef	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
ASV_iol_mmr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ASV_ip9_vip	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV_ipb_4im	1	0	0	1	0	0	0	1	0	6	7	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	11	0	0	0	0	1	0	0
ASV_ipn_js9	0	1	0	0	0	2	0	2	0	1	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_ir1_zfp	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	4	0	0	1	0
ASV_is9_qny	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_isf_psk	1	1	0	6	0	0	7	1	0	2	1	4	2	1	1	1	4	1	0	0	7	0	0	1	0	1	2	0	12	21	28	2	14	0
ASV_itn_j0b	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	2	1	0	0	0	4	5	4	0	4	3	0	14	0
ASV_ivt_f41	1	2	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	15	3	4	0
ASV_ivt_rqg	17	41	12	27	5	7	6	18	0	23	18	20	14	16	12	13	20	6	3	5	11	8	34	1	4	9	16	44	46	27	25	19	16	0
ASV_iy6_ynw	11	37	18	20	16	2	22	33	4	17	20	35	21	14	23	9	21	3	0	6	2	3	0	0	0	13	9	17	9	21	5	18	9	0
ASV_iyo_3rw	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	6	1	0	0	3	3	0	0	0	0	7	3	0	0	17	7	5	2	0
ASV_j05_dql	0	0	0	3	0	0	0	0	3	0	3	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0
ASV_j0m_34j	2	1	0	1	5	4	0	0	0	3	0	0	0	0	0	5	0	0	0	0	6	0	6	0	0	6	0	0	0	0	5	7	0	0
ASV_j1n_p7f	4	8	1	5	2	0	2	3	0	11	3	9	6	5	2	8	1	0	0	0	4	0	0	2	0	3	5	3	16	19	7	2	16	0
ASV_j1u_qov	23	83	16	23	7	3	13	4	20	15	36	22	14	6	1882	22	28	51	21	15	8	152	123	7	3	24	25	222	26	37	28	15	48	0
ASV_j29_jm2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ASV_j3h_t9g	12	12	0	0	3	5	0	3	0	12	10	3	7	1	9	8	1	3	0	0	6	0	0	1	0	0	0	9	4	39	18	7	11	0
ASV_j47_qbc	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV_j4n_yk9	0	0	2	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_j8x_jct	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	10	0	0
ASV_j8z_1h1	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_j9e_qik	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	10	15	0	1	0	0	0
ASV_j9n_bmn	0	0	6	0	0	0	0	0	19	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_j9z_0uj	0	0	0	0	0	1	0	0	0	3	0	4	1	13	2	0	6	0	0	0	5	0	0	0	0	0	4	12	6	0	4	0	0	0
ASV_jad_3ba	0	3	3	0	0	0	1	1	20	0	6	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
